name,type,race,atk,def,level,attribute,archetype
"Abysstrite, the Atlantean Spirit",XYZ Monster,Sea Serpent,2100,2800,7,WATER,Abyss-
Accel Synchro Stardust Dragon,Synchro Monster,Dragon,2500,2000,8,WIND,Stardust
Accel Synchron,Synchro Tuner Monster,Machine,500,2100,5,DARK,Synchron
Accellight,Spell Card,Normal,-1,-1,0,NONE,Photon
Accesscode Talker,Link Monster,Cyberse,2300,-1,0,DARK,Code Talker
Achichi @Ignister,Effect Monster,Cyberse,800,800,2,FIRE,@Ignister
Acid Crawler,Normal Monster,Insect,900,700,3,EARTH,Recolored counterpart
Acid Trap Hole,Trap Card,Normal,-1,-1,0,NONE,Hole
Acrobatic Magician,Pendulum Effect Monster,Spellcaster,800,2300,5,DARK,Magician
Ad Libitum of Despia,Effect Monster,Fairy,1500,2000,8,DARK,Despia
Adamancipator Analyzer,Tuner Monster,Rock,1500,700,4,EARTH,Adamancipator
Adamancipator Conductor,Tuner Monster,Rock,1400,1100,6,EARTH,Adamancipator
Adamancipator Crystal - Dragite,Effect Monster,Rock,0,2200,4,WATER,Adamancipator
Adamancipator Crystal - Leonite,Effect Monster,Rock,0,2200,4,FIRE,Adamancipator
Adamancipator Crystal - Raptite,Effect Monster,Rock,0,2200,4,WIND,Adamancipator
Adamancipator Crystal - Tiamite,Effect Monster,Rock,0,2200,4,DARK,Adamancipator
Adamancipator Friends,Spell Card,Normal,-1,-1,0,NONE,Adamancipator
Adamancipator Laputite,Spell Card,Field,-1,-1,0,NONE,Adamancipator
Adamancipator Luminous,Link Monster,Rock,1800,-1,0,LIGHT,Adamancipator
Adamancipator Mates,Spell Card,Normal,-1,-1,0,NONE,Adamancipator
Adamancipator Relief,Trap Card,Normal,-1,-1,0,NONE,Adamancipator
Adamancipator Researcher,Tuner Monster,Rock,100,2100,2,EARTH,Adamancipator
Adamancipator Resonance,Trap Card,Counter,-1,-1,0,NONE,Adamancipator
Adamancipator Risen - Dragite,Synchro Monster,Rock,3000,2200,8,WATER,Adamancipator
Adamancipator Risen - Leonite,Synchro Monster,Rock,2400,2200,6,FIRE,Adamancipator
Adamancipator Risen - Raptite,Synchro Monster,Rock,2200,2800,6,WIND,Adamancipator
Adamancipator Risen - Tiamite,Synchro Monster,Rock,3300,2200,10,DARK,Adamancipator
Adamancipator Seeker,Tuner Monster,Rock,1200,1000,2,EARTH,Adamancipator
Adamancipator Signs,Spell Card,Normal,-1,-1,0,NONE,Adamancipator
Adhesion Trap Hole,Trap Card,Normal,-1,-1,0,NONE,Hole
Advanced Crystal Beast Amber Mammoth,Effect Monster,Beast,1700,1600,4,EARTH,Advanced Crystal Beast
Advanced Crystal Beast Amethyst Cat,Effect Monster,Beast,1200,400,3,EARTH,Advanced Crystal Beast
Advanced Crystal Beast Cobalt Eagle,Effect Monster,Winged Beast,1400,800,4,WIND,Advanced Crystal Beast
Advanced Crystal Beast Emerald Tortoise,Effect Monster,Aqua,600,2000,3,WATER,Advanced Crystal Beast
Advanced Crystal Beast Ruby Carbuncle,Effect Monster,Fairy,300,300,3,LIGHT,Advanced Crystal Beast
Advanced Crystal Beast Sapphire Pegasus,Effect Monster,Beast,1800,1200,4,WIND,Advanced Crystal Beast
Advanced Crystal Beast Topaz Tiger,Effect Monster,Beast,1600,1000,4,EARTH,Advanced Crystal Beast
Advanced Dark,Spell Card,Field,-1,-1,0,NONE,Crystal Beast
Advanced Heraldry Art,Spell Card,Normal,-1,-1,0,NONE,Heraldic
Advent of Atlantis,Spell Card,Continuous,-1,-1,0,NONE,"Atlantis, City of the Sea Dragon"
Aerial Recharge,Trap Card,Continuous,-1,-1,0,NONE,Mecha Phantom Beast
"Aether, the Empowering Dragon",Effect Monster,Dragon,2300,1600,6,LIGHT,Aether
"Aether, the Evil Empowering Dragon",Pendulum Effect Monster,Dragon,2300,1600,6,DARK,Empower
Against the Wind,Spell Card,Normal,-1,-1,0,NONE,Blackwing
Agido the Ancient Sentinel,Effect Monster,Fairy,1500,1300,4,EARTH,Exchange of the Spirit
Aileron,Effect Monster,Machine,0,0,1,WIND,Sky Striker
Air Armor Ninja,Effect Monster,Warrior,1400,1400,4,WIND,Ninja
Airknight Parshath,Effect Monster,Fairy,1900,1400,5,LIGHT,Parshath
"Aiwass, the Magistus Spell Spirit",Fusion Monster,Fiend,2000,2800,8,WIND,Magistus
Akasuna the Battle Ashtra,Effect Monster,Fiend,3000,300,8,FIRE,Ashtra
Alba System Dogmatikalamity,Fusion Monster,Dragon,4500,2500,8,DARK,Albaz Dragon
Albion the Branded Dragon,Fusion Monster,Dragon,2500,2000,8,DARK,Branded
Albion the Sanctifire Dragon,Fusion Monster,Dragon,3000,2500,8,LIGHT,Albaz Dragon
"Aleirtt, the Ogdoadic Dark",Effect Monster,Reptile,2000,800,8,DARK,Ogdoadic
Aleister the Invoker,Effect Monster,Spellcaster,1000,1800,4,DARK,Invoked
Aleister the Invoker of Madness,Link Monster,Spellcaster,1800,-1,0,DARK,Invoked
Aleister the Reminiscent,Effect Monster,Spellcaster,1800,1000,4,DARK,Aleister
ALERT!,Spell Card,Quick-Play,-1,-1,0,NONE,Rescue-ACE
Alghoul Mazera,Effect Monster,Zombie,2800,2300,8,EARTH,Zera
"Alice, Lady of Lament",Effect Monster,Fiend,0,2000,3,DARK,Lady of Lament
"Alich, Malebranche of the Burning Abyss",Effect Monster,Fiend,1200,0,3,DARK,Burning Abyss
Alien Ammonite,Tuner Monster,Reptile,500,200,1,LIGHT,Alien
Alien Brain,Trap Card,Normal,-1,-1,0,NONE,Alien
Alien Dog,Effect Monster,Reptile,1500,1000,3,LIGHT,Alien
Alien Grey,Flip Effect Monster,Reptile,300,800,2,LIGHT,Alien
Alien Hunter,Effect Monster,Reptile,1600,800,4,WATER,Alien
Alien Hypno,Gemini Monster,Reptile,1600,700,4,WATER,Alien
Alien Infiltrator,Effect Monster,Reptile,800,500,2,EARTH,Alien
Alien Kid,Effect Monster,Reptile,1600,700,4,LIGHT,Alien
Alien Mars,Effect Monster,Reptile,1000,1000,3,FIRE,Alien
Alien Mother,Effect Monster,Reptile,2300,1500,6,DARK,Alien
Alien Overlord,Effect Monster,Reptile,2200,1600,6,DARK,Alien
Alien Psychic,Effect Monster,Reptile,200,100,1,DARK,Alien
Alien Shocktrooper,Normal Monster,Reptile,1900,800,4,EARTH,Alien
Alien Shocktrooper M-Frame,Link Monster,Reptile,1900,-1,0,LIGHT,Alien
Alien Skull,Effect Monster,Reptile,1600,1800,4,WIND,Alien
Alien Stealthbuster,Effect Monster,Reptile,1700,1500,4,LIGHT,Alien
Alien Telepath,Effect Monster,Reptile,1600,1000,4,FIRE,Alien
Alien Warrior,Effect Monster,Reptile,1800,1000,4,EARTH,Alien
All-Eyes Phantom Dragon,Pendulum Effect Monster,Dragon,3000,2500,10,LIGHT,-Eyes Dragon
Allied Code Talker @Ignister,Link Monster,Cyberse,2300,-1,0,DARK,@Ignister
Alligator's Dragon Knight,Effect Monster,Dragon,1700,1500,5,WIND,Dark Time Wizard
Alligator's Sword,Normal Monster,Beast,1500,1200,4,EARTH,Alligator
Alligator's Sword Dragon,Fusion Monster,Dragon,1700,1500,5,WIND,Alligator
Allure Queen LV3,Effect Monster,Spellcaster,500,500,3,DARK,Allure Queen
Allure Queen LV5,Effect Monster,Spellcaster,1000,1000,5,DARK,Allure Queen
Allure Queen LV7,Effect Monster,Spellcaster,1500,1500,7,DARK,Allure Queen
Alluring Mirror Split,Spell Card,Continuous,-1,-1,0,NONE,Harpie
Ally Mind,Normal Tuner Monster,Machine,1800,1400,5,DARK,Ally of Justice
Ally of Justice Catastor,Synchro Monster,Machine,2200,1200,5,DARK,Ally of Justice
Ally of Justice Clausolas,Normal Monster,Machine,2300,1200,6,DARK,Ally of Justice
Ally of Justice Core Destroyer,Effect Monster,Machine,1200,200,3,DARK,Ally of Justice
Ally of Justice Cosmic Gateway,Effect Monster,Machine,2400,1200,8,DARK,Ally of Justice
Ally of Justice Cycle Reader,Tuner Monster,Machine,1000,1000,3,DARK,Ally of Justice
Ally of Justice Cyclone Creator,Tuner Monster,Machine,1400,1200,3,DARK,Ally of Justice
Ally of Justice Decisive Armor,Synchro Monster,Machine,3300,3300,10,DARK,Ally of Justice
Ally of Justice Enemy Catcher,Effect Monster,Machine,1800,1800,6,DARK,Ally of Justice
Ally of Justice Field Marshal,Synchro Monster,Machine,2900,2600,9,DARK,Ally of Justice
Ally of Justice Garadholg,Effect Monster,Machine,1600,400,4,DARK,Ally of Justice
Ally of Justice Light Gazer,Synchro Monster,Machine,2400,1600,8,DARK,Ally of Justice
Ally of Justice Nullfier,Effect Monster,Machine,1600,1200,4,DARK,Ally of Justice
Ally of Justice Omni-Weapon,Effect Monster,Machine,2200,800,5,DARK,Ally of Justice
Ally of Justice Quarantine,Effect Monster,Machine,1700,1200,4,DARK,Ally of Justice
Ally of Justice Reverse Break,Effect Monster,Machine,1200,1200,4,DARK,Ally of Justice
Ally of Justice Rudra,Effect Monster,Machine,1900,1200,5,DARK,Ally of Justice
Ally of Justice Searcher,Effect Monster,Machine,1400,100,3,DARK,Ally of Justice
Ally of Justice Thousand Arms,Effect Monster,Machine,1700,0,4,DARK,Ally of Justice
Ally of Justice Thunder Armor,Effect Monster,Machine,2700,2200,8,DARK,Ally of Justice
Ally of Justice Unknown Crusher,Effect Monster,Machine,1200,800,3,DARK,Ally of Justice
Ally of Justice Unlimiter,Effect Monster,Machine,600,200,2,DARK,Ally of Justice
"Alpacaribou, Mystical Beast of the Forest",Effect Monster,Beast,2700,2100,7,EARTH,Mystical Beast of the Forest
Alpha The Electromagnet Warrior,Effect Monster,Rock,1700,1100,3,EARTH,Magnet
Alpha The Magnet Warrior,Normal Monster,Rock,1400,1700,4,EARTH,Magnet Warrior
"Alsei, the Sylvan High Protector",XYZ Monster,Plant,2300,3200,8,LIGHT,Sylvan
Altergeist Adminia,Link Monster,Spellcaster,3000,-1,0,DARK,Altergeist
Altergeist Camouflage,Trap Card,Normal,-1,-1,0,NONE,Altergeist
Altergeist Dragvirion,Synchro Monster,Spellcaster,2200,1200,6,DARK,Altergeist
Altergeist Emulatelf,Trap Card,Continuous,-1,-1,0,NONE,Altergeist
Altergeist Failover,Trap Card,Continuous,-1,-1,0,NONE,Altergeist
Altergeist Fifinellag,Tuner Monster,Spellcaster,0,1000,2,DARK,Altergeist
Altergeist Fijialert,Effect Monster,Spellcaster,1400,1200,4,WATER,Altergeist
Altergeist Haunted Rock,Trap Card,Continuous,-1,-1,0,NONE,Altergeist
Altergeist Hexstia,Link Monster,Spellcaster,1500,-1,0,FIRE,Altergeist
Altergeist Kidolga,Link Monster,Spellcaster,1000,-1,0,DARK,Altergeist
Altergeist Kunquery,Effect Monster,Spellcaster,0,2400,5,EARTH,Altergeist
Altergeist Malwisp,Tuner Monster,Spellcaster,1500,0,3,LIGHT,Altergeist
Altergeist Manifestation,Trap Card,Normal,-1,-1,0,NONE,Altergeist
Altergeist Marionetter,Effect Monster,Spellcaster,1600,1700,4,LIGHT,Altergeist
Altergeist Meluseek,Effect Monster,Spellcaster,500,300,1,WATER,Altergeist
Altergeist Memorygant,Link Monster,Spellcaster,2800,-1,0,DARK,Altergeist
Altergeist Multifaker,Effect Monster,Spellcaster,1200,800,3,DARK,Altergeist
Altergeist Peritrator,Effect Monster,Spellcaster,500,300,1,FIRE,Altergeist
Altergeist Pixiel,Effect Monster,Spellcaster,100,100,1,WIND,Altergeist
Altergeist Pookuery,Effect Monster,Spellcaster,300,100,1,DARK,Altergeist
Altergeist Primebanshee,Link Monster,Spellcaster,2100,-1,0,DARK,Altergeist
Altergeist Protocol,Trap Card,Continuous,-1,-1,0,NONE,Altergeist
Altergeist Revitalization,Trap Card,Normal,-1,-1,0,NONE,Altergeist
Altergeist Silquitous,Effect Monster,Spellcaster,800,1500,2,WIND,Altergeist
Aluber the Jester of Despia,Effect Monster,Fairy,1800,0,4,DARK,Despia
Alviss of the Nordic Alfar,Effect Monster,Spellcaster,1500,1000,4,DARK,Nordic
Am Duasennet,Trap Card,Normal,-1,-1,0,NONE,Sennet
Amaze Attraction Cyclo-Coaster,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amaze Attraction Horror House,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amaze Attraction Majestic Merry-Go-Round,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amaze Attraction Rapid Racing,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amaze Attraction Thrill Train,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amaze Attraction Viking Vortex,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amaze Attraction Wonder Wheel,Trap Card,Normal,-1,-1,0,NONE,Attraction
Amazement Abomination Arlekino,Effect Monster,Psychic,2600,2200,7,LIGHT,Amazement
Amazement Administrator Arlekino,Effect Monster,Psychic,2600,2200,7,DARK,Amazement
Amazement Ambassador Bufo,Effect Monster,Beast,1600,900,3,EARTH,Amazement
Amazement Assistant Delia,Effect Monster,Machine,1800,1400,4,LIGHT,Amazement
Amazement Attendant Comica,Effect Monster,Machine,1400,1800,4,LIGHT,Amazement
Amazement Family Faces,Trap Card,Normal,-1,-1,0,NONE,Amazement
Amazement Precious Park,Spell Card,Field,-1,-1,0,NONE,Amazement
Amazement Special Show,Spell Card,Quick-Play,-1,-1,0,NONE,Amazement
Amazing Pendulum,Spell Card,Normal,-1,-1,0,NONE,Magician
Amazing Time Ticket,Spell Card,Quick-Play,-1,-1,0,NONE,Amazement
Amazoness Archer,Effect Monster,Warrior,1400,1000,4,EARTH,Amazoness
Amazoness Archers,Trap Card,Normal,-1,-1,0,NONE,Amazoness
Amazoness Augusta,Fusion Monster,Warrior,3200,2800,10,EARTH,Amazoness
Amazoness Baby Tiger,Effect Monster,Beast,500,500,2,EARTH,Amazoness
Amazoness Blowpiper,Effect Monster,Warrior,800,1500,3,EARTH,Amazoness
Amazoness Call,Spell Card,Quick-Play,-1,-1,0,NONE,Amazoness
Amazoness Chain Master,Effect Monster,Warrior,1500,1300,4,EARTH,Amazoness
Amazoness Empress,Fusion Monster,Warrior,2800,2400,8,EARTH,Amazoness
Amazoness Fighter,Effect Monster,Warrior,1500,1300,4,EARTH,Amazoness
Amazoness Fighting Spirit,Spell Card,Continuous,-1,-1,0,NONE,Amazoness
Amazoness Golden Whip Master,Pendulum Effect Monster,Warrior,2000,1200,5,EARTH,Amazoness
Amazoness Hall,Trap Card,Continuous,-1,-1,0,NONE,Amazoness
Amazoness Heirloom,Spell Card,Equip,-1,-1,0,NONE,Amazoness
Amazoness Hot Spring,Trap Card,Continuous,-1,-1,0,NONE,Amazoness
Amazoness Onslaught,Trap Card,Continuous,-1,-1,0,NONE,Amazoness
Amazoness Paladin,Effect Monster,Warrior,1700,300,4,EARTH,Amazoness
Amazoness Pet Liger,Fusion Monster,Beast,2500,2400,7,EARTH,Amazoness
Amazoness Pet Liger King,Fusion Monster,Beast,2900,2800,9,EARTH,Amazoness
Amazoness Princess,Effect Monster,Warrior,1200,900,3,EARTH,Amazoness
Amazoness Queen,Effect Monster,Warrior,2400,1800,6,EARTH,Amazoness
Amazoness Sage,Effect Monster,Warrior,1400,700,4,EARTH,Amazoness
Amazoness Scouts,Effect Monster,Warrior,500,1100,2,EARTH,Amazoness
Amazoness Secret Arts,Spell Card,Quick-Play,-1,-1,0,NONE,Amazoness
Amazoness Shamanism,Trap Card,Normal,-1,-1,0,NONE,Amazoness
Amazoness Silver Sword Master,Pendulum Effect Monster,Warrior,1200,2000,3,EARTH,Amazoness
Amazoness Spellcaster,Spell Card,Normal,-1,-1,0,NONE,Amazoness
Amazoness Spiritualist,Effect Monster,Warrior,800,1800,2,EARTH,Amazoness
Amazoness Spy,Effect Monster,Warrior,800,1200,3,EARTH,Amazoness
Amazoness Swords Woman,Effect Monster,Warrior,1500,1600,4,EARTH,Amazoness
Amazoness Tiger,Effect Monster,Beast,1100,1500,4,EARTH,Amazoness
Amazoness Trainee,Effect Monster,Warrior,1500,1300,4,EARTH,Amazoness
Amazoness Village,Spell Card,Field,-1,-1,0,NONE,Amazoness
Amazoness War Chief,Effect Monster,Warrior,1900,0,5,EARTH,Amazoness
Amazoness Willpower,Trap Card,Continuous,-1,-1,0,NONE,Amazoness
Ambulance Rescueroid,Fusion Monster,Machine,2300,1800,6,FIRE,Roid
Ambulanceroid,Effect Monster,Machine,300,1200,3,EARTH,Roid
Ambush Fangs,Trap Card,Normal,-1,-1,0,NONE,Venom
Ame no Habakiri no Mitsurugi,Ritual Effect Monster,Reptile,2400,1800,8,DARK,Mitsurugi
Ame no Murakumo no Mitsurugi,Ritual Effect Monster,Reptile,3200,800,8,DARK,Mitsurugi
Amores of Prophecy,Effect Monster,Spellcaster,600,2000,3,EARTH,Spellbook
"Amorphactor Pain, the Imagination Dracoverlord",Ritual Effect Monster,Dragon,2950,2500,8,EARTH,Dracoverlord
Amorphage Envy,Pendulum Effect Monster,Dragon,0,2050,4,EARTH,Amorphage
Amorphage Gluttony,Pendulum Effect Monster,Dragon,0,1850,2,EARTH,Amorphage
Amorphage Goliath,Pendulum Effect Monster,Dragon,2750,0,8,EARTH,Amorphage
Amorphage Greed,Pendulum Effect Monster,Dragon,0,1950,4,EARTH,Amorphage
Amorphage Infection,Spell Card,Continuous,-1,-1,0,NONE,Amorphage
Amorphage Lechery,Pendulum Effect Monster,Dragon,1350,0,2,EARTH,Amorphage
Amorphage Lysis,Trap Card,Continuous,-1,-1,0,NONE,Amorphage
Amorphage Pride,Pendulum Effect Monster,Dragon,1750,0,4,EARTH,Amorphage
Amorphage Sloth,Pendulum Effect Monster,Dragon,2250,0,6,EARTH,Amorphage
Amorphage Wrath,Pendulum Effect Monster,Dragon,1650,0,4,EARTH,Amorphage
Amorphous Persona,Spell Card,Field,-1,-1,0,NONE,Amorphage
Amphibious Bugroth MK-11,Effect Monster,Machine,1850,1500,5,WATER,Bugroth
Amphibious Bugroth MK-3,Effect Monster,Machine,1500,1300,4,WATER,Umi
Amulet Dragon,Fusion Monster,Dragon,2900,2500,8,DARK,Dark Magician
"Amunessia, the Ogdoadic Queen",Effect Monster,Reptile,2700,2100,8,DARK,Ogdoadic
Anarchist Monk of the Six Samurai,Tuner Monster,Warrior,500,0,3,DARK,Six Samurai
Ancient Chant,Spell Card,Normal,-1,-1,0,NONE,Egyptian God
Ancient City - Rainbow Ruins,Spell Card,Field,-1,-1,0,NONE,Crystal Beast
Ancient Fairy Life Dragon,Synchro Monster,Dragon,2500,3300,8,LIGHT,Ancient Fairy Dragon
Ancient Flamvell Deity,Synchro Monster,Pyro,2500,200,7,FIRE,Flamvell
Ancient Fusion,Skill Card,Dr. Vellian C,-1,-1,0,NONE,Fusion
Ancient Gear Advance,Spell Card,Continuous,-1,-1,0,NONE,Ancient Gear
Ancient Gear Ballista,Link Monster,Machine,1500,-1,0,EARTH,Ancient Gear
Ancient Gear Beast,Effect Monster,Machine,2000,2000,6,EARTH,Ancient Gear
Ancient Gear Box,Effect Monster,Machine,500,2000,4,EARTH,Ancient Gear
Ancient Gear Cannon,Effect Monster,Machine,500,500,2,EARTH,Ancient Gear
Ancient Gear Castle,Spell Card,Continuous,-1,-1,0,NONE,Ancient Gear
Ancient Gear Catapult,Spell Card,Normal,-1,-1,0,NONE,Ancient Gear
Ancient Gear Commander,Effect Monster,Machine,500,2000,4,EARTH,Ancient Gear
Ancient Gear Dark Golem,Effect Monster,Machine,3000,3000,8,EARTH,Ancient Gear
Ancient Gear Dragon,Effect Monster,Machine,500,2500,5,EARTH,Ancient Gear
Ancient Gear Drill,Spell Card,Normal,-1,-1,0,NONE,Ancient Gear
Ancient Gear Duel,Trap Card,Continuous,-1,-1,0,NONE,Ancient Gear
Ancient Gear Engineer,Effect Monster,Machine,1500,1500,5,EARTH,Ancient Gear
Ancient Gear Explosive,Spell Card,Normal,-1,-1,0,NONE,Ancient Gear
Ancient Gear Factory,Spell Card,Normal,-1,-1,0,NONE,Ancient Gear
Ancient Gear Fist,Spell Card,Equip,-1,-1,0,NONE,Ancient Gear
Ancient Gear Fortress,Spell Card,Continuous,-1,-1,0,NONE,Ancient Gear
Ancient Gear Frame,Effect Monster,Machine,1600,500,4,EARTH,Ancient Gear
Ancient Gear Fusion,Spell Card,Normal,-1,-1,0,NONE,Ancient Gear
Ancient Gear Gadget,Effect Monster,Machine,500,2000,4,EARTH,Ancient Gear
Ancient Gear Gadjiltron Chimera,Effect Monster,Machine,2300,1300,6,EARTH,Ancient Gear
Ancient Gear Gadjiltron Dragon,Effect Monster,Machine,3000,2000,8,EARTH,Ancient Gear
Ancient Gear Golem,Effect Monster,Machine,3000,3000,8,EARTH,Ancient Gear
Ancient Gear Golem - Ultimate Pound,Effect Monster,Machine,3000,3000,8,EARTH,Ancient Gear
Ancient Gear Howitzer,Fusion Monster,Machine,1000,1800,8,EARTH,Ancient Gear
Ancient Gear Hunting Hound,Effect Monster,Machine,1000,1000,3,EARTH,Ancient Gear
Ancient Gear Hydra,Effect Monster,Machine,2700,1700,7,EARTH,Ancient Gear
Ancient Gear Knight,Gemini Monster,Machine,1800,500,4,EARTH,Ancient Gear
Ancient Gear Megaton Golem,Fusion Monster,Machine,3300,3300,9,EARTH,Ancient Gear
Ancient Gear Reactor Dragon,Effect Monster,Machine,3000,3000,9,EARTH,Ancient Gear
Ancient Gear Reborn,Trap Card,Continuous,-1,-1,0,NONE,Ancient Gear
